BASE_YEAR,BASE_MONTH,MANAGE_CODE_NAME,CLASS_NO_NAME,AGE_DC,VALUE
2019,1,동구도서관,사회과학,30,16
2019,1,동구도서관,사회과학,40,58
2019,1,동구도서관,사회과학,50,102
2019,1,동구도서관,사회과학,60,25
2019,1,동구도서관,사회과학,70,16
2019,1,동구도서관,사회과학,80,3
2019,1,동구도서관,언어,10,20
2019,1,동구도서관,언어,20,37
2019,1,동구도서관,언어,30,2
2019,1,동구도서관,언어,40,13
2019,1,동구도서관,언어,50,25
2019,1,동구도서관,언어,60,14
2019,1,동구도서관,언어,70,8
2019,1,동구도서관,역사,10,20
2019,1,동구도서관,역사,20,52
2019,1,동구도서관,역사,30,10
2019,1,동구도서관,역사,40,58
2019,1,동구도서관,역사,50,79
2019,1,동구도서관,역사,60,24
2019,1,동구도서관,역사,70,4
2019,1,동구도서관,역사,80,2
2019,1,동구도서관,예술,10,5
2019,1,동구도서관,예술,20,2
2019,1,동구도서관,예술,30,2
2019,1,동구도서관,예술,40,11
2019,1,동구도서관,예술,50,21
2019,1,동구도서관,예술,60,7
2019,1,동구도서관,예술,70,3
2019,1,동구도서관,예술,80,4
2019,1,동구도서관,자연과학,10,37
2019,1,동구도서관,자연과학,20,100
2019,1,동구도서관,자연과학,30,6
2019,1,동구도서관,자연과학,40,29
2019,1,동구도서관,자연과학,50,78
2019,1,동구도서관,자연과학,60,14
2019,1,동구도서관,자연과학,70,2
2019,1,동구도서관,종교,30,1
2019,1,동구도서관,종교,40,9
2019,1,동구도서관,종교,50,16
2019,1,동구도서관,종교,60,2
2019,1,동구도서관,종교,70,10
2019,1,동구도서관,종교,80,3
2019,1,동구도서관,철학,10,14
2019,1,동구도서관,철학,20,26
2019,1,동구도서관,철학,30,9
2019,1,동구도서관,철학,40,25
2019,1,동구도서관,철학,50,56
2019,1,동구도서관,철학,60,25
2019,1,동구도서관,철학,70,12
2019,1,동구도서관,철학,80,7
2019,1,동구도서관,총류,10,10
2019,1,동구도서관,총류,20,3
2019,1,동구도서관,총류,30,8
2019,1,동구도서관,총류,40,17
2019,1,동구도서관,총류,50,21
2019,1,동구도서관,총류,60,9
2019,1,동구도서관,총류,70,3
2019,1,동래읍성도서관,기술과학,10,10
2019,1,동래읍성도서관,기술과학,20,47
2019,1,동래읍성도서관,기술과학,30,11
2019,1,동래읍성도서관,기술과학,40,63
2019,1,동래읍성도서관,기술과학,50,173
2019,1,동래읍성도서관,기술과학,60,18
2019,1,동래읍성도서관,기술과학,70,20
2019,1,동래읍성도서관,기술과학,80,5
2019,1,동래읍성도서관,문학,10,803
2019,1,동래읍성도서관,문학,20,574
2019,1,동래읍성도서관,문학,30,102
2019,1,동래읍성도서관,문학,40,570
2019,1,동래읍성도서관,문학,50,1170
2019,1,동래읍성도서관,문학,60,92
